Variable,Value,Units,Description
radius_turbine,0.0362411936854193,m,Turbine radius
mass_blade,2.1125e-07,kg,Blade mass
Force_centrifugal,0.209892275534793,N,Centrifugal force on blade
stress_centrifugal,4313.05275328525,N/m^2,Centrifugal stress
Force_tangential,4481.96485453574,N,Tangential force
Force_axial,-802.946395728425,N,Axial force
torque_blade,5.56298647572091,N*m,Blade torque
torque_turbine,4060.79390961179,N*m,Turbine torque
P,21262267.1902976,W,Power
Force_gas,4553.32097174214,N,Gas force
Moment_Bending,0.226062129512542,N*m,Bending moment
I,4.16666666666667e-10,m^4,Second moment of area (I)
stress_gas,136599629.152264,N/m^2,Gas stress
