	Time [s]	Chamber Temperature [°F]	
1	4.e-002	258.49	
2	5.3333e-002	298.08	
3	5.7778e-002	310.02	
4	6.1778e-002	319.75	
5	6.5778e-002	328.83	
6	6.9778e-002	337.4	
7	7.4079e-002	346.14	
8	7.8895e-002	355.43	
9	8.4358e-002	365.43	
10	9.0656e-002	376.36	
11	9.8034e-002	388.47	
12	0.10676	402.41	
13	0.11732	418.3	
14	0.13054	436.8	
15	0.14778	459.03	
16	0.17154	486.87	
17	0.20228	519.41	
18	0.23483	551.03	
19	0.26933	581.81	
20	0.30629	612.22	
21	0.34613	642.5	
22	0.38916	672.81	
23	0.4357	703.26	
24	0.48606	733.89	
25	0.54051	764.74	
26	0.59942	795.87	
27	0.66321	827.33	
28	0.73237	859.18	
29	0.80745	891.48	
30	0.8891	924.29	
31	0.97807	957.68	
32	1.0752	991.74	
33	1.1816	1026.5	
34	1.2983	1062.1	
35	1.4267	1098.7	
36	1.5686	1136.7	
37	1.7257	1179.2	
38	1.9003	1224.2	
39	2.0953	1272.1	
40	2.3102	1322.6	
41	2.5378	1374.	
42	2.7801	1426.7	
43	3.0397	1480.9	
44	3.3189	1536.8	
45	3.6206	1594.3	
46	3.8103	1630.9	
47	4.	1664.8	
48	4.02	1581.5	
49	4.0293	1556.7	
50	4.0387	1536.7	
51	4.0528	1512.3	
52	4.0686	1489.6	
53	4.0862	1468.3	
54	4.1058	1448.4	
55	4.1275	1429.7	
56	4.1515	1411.3	
57	4.1782	1393.1	
58	4.2079	1374.9	
59	4.2409	1356.9	
60	4.2775	1338.9	
61	4.3183	1320.9	
62	4.3637	1303.	
63	4.4143	1285.2	
64	4.4706	1267.5	
65	4.5337	1249.9	
66	4.6042	1232.5	
67	4.6836	1215.3	
68	4.773	1198.4	
69	4.8734	1182.1	
70	4.9838	1166.6	
71	5.1053	1152.1	
72	5.239	1138.7	
73	5.3859	1126.4	
74	5.5475	1115.3	
75	5.7236	1105.6	
76	5.9135	1097.2	
77	6.	1093.7	
