	Time [s]	Chamber Temperature [°F]
1	4.e-002	262.01
2	5.3333e-002	302.43
3	5.8078e-002	316.52
4	6.2823e-002	329.15
5	6.8113e-002	341.92
6	7.3702e-002	354.33
7	7.96e-002	366.5
8	8.5818e-002	378.5
9	9.2347e-002	390.34
10	9.9109e-002	401.91
11	0.10612	413.28
12	0.1134	424.51
13	0.12096	435.64
14	0.12884	446.71
15	0.13705	457.76
16	0.14563	468.83
17	0.15462	479.96
18	0.16404	491.19
19	0.17394	502.54
20	0.18438	514.06
21	0.19541	525.79
22	0.20709	537.76
23	0.21952	550.04
24	0.23279	562.67
25	0.24702	575.72
26	0.26235	589.26
27	0.27895	603.38
28	0.29704	618.17
29	0.31692	633.76
30	0.33893	650.32
31	0.36356	668.05
32	0.39148	687.2
33	0.4236	708.16
34	0.46129	731.42
35	0.50666	757.74
36	0.56315	788.27
37	0.6259	820.1
38	0.69634	853.43
39	0.77646	888.64
40	0.86884	926.19
41	0.9769	966.61
42	1.1051	1010.5
43	1.2492	1055.8
44	1.4084	1101.8
45	1.5841	1148.3
46	1.7767	1195.1
47	1.9918	1243.
48	2.2324	1298.1
49	2.5023	1359.2
50	2.8021	1423.9
51	3.1328	1491.8
52	3.4743	1559.1
53	3.8286	1625.8
54	4.	1661.2
55	4.02	1595.8
56	4.0316	1569.4
57	4.0432	1546.9
58	4.0655	1512.7
59	4.0961	1476.8
60	4.1357	1441.
61	4.1849	1404.4
62	4.244	1368.2
63	4.3146	1333.
64	4.3966	1299.7
65	4.4799	1271.3
66	4.5647	1247.1
67	4.6518	1226.6
68	4.7415	1208.2
69	4.8345	1191.7
70	4.9311	1176.8
71	5.0317	1163.3
72	5.1367	1151.1
73	5.2465	1140.1
74	5.3616	1130.1
75	5.4825	1121.1
76	5.6098	1113.
77	5.744	1105.7
78	5.886	1099.3
79	6.	1094.8
