	Time [s]	Minimum [°F]	Maximum [°F]	Average [°F]	
1	4.e-002	71.604	255.24	91.921	
2	5.3333e-002	71.606	294.78	97.878	
3	5.7778e-002	71.607	306.71	99.821	
4	6.1778e-002	71.608	316.52	101.54	
5	6.5778e-002	71.609	325.65	103.23	
6	6.9778e-002	71.61	334.27	104.9	
7	7.4079e-002	71.611	343.04	106.68	
8	7.8895e-002	71.613	352.36	108.65	
9	8.4358e-002	71.615	362.4	110.86	
10	9.0656e-002	71.617	373.36	113.38	
11	9.8034e-002	71.621	385.5	116.31	
12	0.10676	71.627	399.04	119.72	
13	0.11732	71.637	414.44	123.81	
14	0.13054	71.654	432.4	128.85	
15	0.14778	71.69	454.02	135.31	
16	0.17154	71.782	481.16	144.04	
17	0.20228	72.011	512.95	155.1	
18	0.23483	72.428	543.9	166.59	
19	0.26933	73.123	574.09	178.54	
20	0.30629	74.216	603.96	191.12	
21	0.34613	75.853	633.77	204.44	
22	0.38916	78.203	663.65	218.59	
23	0.4357	81.446	693.71	233.64	
24	0.48606	85.776	724.	249.66	
25	0.54051	91.383	754.56	266.7	
26	0.59942	98.463	785.45	284.84	
27	0.66321	107.21	816.74	304.16	
28	0.73237	117.83	848.48	324.77	
29	0.80745	130.5	880.78	346.78	
30	0.8891	145.42	913.74	370.32	
31	0.97807	162.79	947.47	395.52	
32	1.0752	182.82	982.12	422.57	
33	1.1816	205.71	1017.9	451.64	
34	1.2983	231.68	1054.9	482.95	
35	1.4267	260.98	1093.5	516.73	
36	1.5686	293.86	1133.8	553.26	
37	1.7257	330.59	1176.3	592.84	
38	1.9003	371.49	1221.3	635.81	
39	2.0953	416.89	1269.1	682.55	
40	2.3102	466.37	1319.6	732.7	
41	2.5378	517.83	1371.1	784.29	
42	2.7801	571.46	1423.7	837.6	
43	3.0397	627.44	1477.8	892.9	
44	3.3189	685.93	1533.7	950.41	
45	3.6206	747.09	1591.4	1010.3	
46	3.8103	784.33	1628.4	1047.2	
47	4.	820.76	1662.4	1083.1	
48	4.02	824.54	1573.5	1080.	
49	4.0293	826.29	1547.9	1079.3	
50	4.0387	828.05	1529.3	1078.7	
51	4.0528	830.7	1507.5	1078.	
52	4.0686	833.67	1487.	1077.3	
53	4.0862	836.97	1467.4	1076.7	
54	4.1058	840.62	1448.4	1076.	
55	4.1275	844.66	1429.7	1075.4	
56	4.1515	849.13	1411.3	1074.8	
57	4.1782	854.08	1393.1	1074.1	
58	4.2079	859.55	1374.9	1073.5	
59	4.2409	865.59	1356.9	1072.9	
60	4.2775	872.25	1338.9	1072.2	
61	4.3183	879.57	1320.9	1071.6	
62	4.3637	887.57	1303.	1070.9	
63	4.4143	896.27	1285.2	1070.3	
64	4.4706	905.67	1267.5	1069.7	
65	4.5337	915.74	1249.9	1069.1	
66	4.6042	926.43	1232.5	1068.5	
67	4.6836	937.68	1215.3	1067.9	
68	4.773	949.36	1198.4	1067.3	
69	4.8734	961.25	1182.1	1066.7	
70	4.9838	972.93	1166.6	1066.2	
71	5.1053	984.21	1152.1	1065.7	
72	5.239	994.94	1138.7	1065.2	
73	5.3859	1004.9	1126.4	1064.8	
74	5.5475	1014.1	1115.3	1064.4	
75	5.7236	1022.2	1105.6	1064.	
76	5.9135	1029.2	1097.2	1063.7	
77	6.	1032.1	1093.7	1063.6	
