	Time [s]	Convergent Temperature [°F]	
1	4.e-002	510.53	
2	5.3333e-002	610.1	
3	5.7778e-002	640.46	
4	6.1778e-002	664.63	
5	6.5778e-002	686.58	
6	6.9778e-002	706.94	
7	7.4079e-002	727.39	
8	7.8895e-002	748.84	
9	8.4358e-002	771.7	
10	9.0656e-002	796.43	
11	9.8034e-002	823.62	
12	0.10676	853.83	
13	0.11732	887.77	
14	0.13054	926.78	
15	0.14778	972.93	
16	0.17154	1029.5	
17	0.20228	1094.4	
18	0.23483	1157.	
19	0.26933	1216.9	
20	0.30629	1274.9	
21	0.34613	1331.5	
22	0.38916	1386.9	
23	0.4357	1441.4	
24	0.48606	1495.1	
25	0.54051	1548.	
26	0.59942	1600.1	
27	0.66321	1651.5	
28	0.73237	1702.2	
29	0.80745	1749.1	
30	0.8891	1791.6	
31	0.97807	1832.9	
32	1.0752	1873.7	
33	1.1816	1913.7	
34	1.2983	1953.9	
35	1.4267	1993.	
36	1.5686	2031.6	
37	1.7257	2070.1	
38	1.9003	2108.5	
39	2.0953	2146.6	
40	2.3102	2184.3	
41	2.5378	2220.	
42	2.7801	2253.6	
43	3.0397	2285.6	
44	3.3189	2316.3	
45	3.6206	2345.7	
46	3.8103	2363.1	
47	4.	2379.5	
48	4.02	2274.6	
49	4.0293	2239.	
50	4.0387	2210.2	
51	4.0528	2175.3	
52	4.0686	2142.4	
53	4.0862	2111.1	
54	4.1058	2080.8	
55	4.1275	2051.1	
56	4.1515	2021.6	
57	4.1782	1992.	
58	4.2079	1962.3	
59	4.2409	1932.1	
60	4.2775	1901.5	
61	4.3183	1870.2	
62	4.3637	1838.3	
63	4.4143	1805.6	
64	4.4706	1772.	
65	4.5337	1737.5	
66	4.6042	1701.9	
67	4.6836	1665.1	
68	4.773	1627.	
69	4.8734	1587.7	
70	4.9838	1548.	
71	5.1053	1507.8	
72	5.239	1467.	
73	5.3859	1425.4	
74	5.5475	1383.1	
75	5.7236	1340.7	
76	5.9135	1298.9	
77	6.	1280.4	
