	Time [s]	Convergent Temperature [°F]
1	4.e-002	514.67
2	5.3333e-002	612.97
3	5.8078e-002	644.42
4	6.2823e-002	672.13
5	6.8113e-002	699.74
6	7.3702e-002	726.62
7	7.96e-002	752.87
8	8.5818e-002	778.62
9	9.2347e-002	803.9
10	9.9109e-002	828.51
11	0.10612	852.59
12	0.1134	876.24
13	0.12096	899.56
14	0.12884	922.66
15	0.13705	945.6
16	0.14563	968.46
17	0.15462	991.32
18	0.16404	1014.3
19	0.17394	1037.3
20	0.18438	1060.6
21	0.19541	1084.1
22	0.20709	1108.
23	0.21952	1132.3
24	0.23279	1157.2
25	0.24702	1182.7
26	0.26235	1208.9
27	0.27895	1236.
28	0.29704	1264.1
29	0.31692	1293.4
30	0.33893	1324.2
31	0.36356	1356.7
32	0.39148	1391.3
33	0.4236	1428.6
34	0.46129	1469.3
35	0.50666	1514.2
36	0.56315	1565.
37	0.6259	1617.1
38	0.69634	1670.3
39	0.77646	1725.1
40	0.86884	1781.7
41	0.9769	1840.5
42	1.1051	1894.7
43	1.2492	1954.3
44	1.4084	2006.7
45	1.5841	2051.6
46	1.7767	2094.4
47	1.9918	2136.6
48	2.2324	2178.6
49	2.5023	2219.4
50	2.8021	2259.1
51	3.1328	2297.
52	3.4743	2331.5
53	3.8286	2363.2
54	4.	2377.7
55	4.02	2303.5
56	4.0316	2268.5
57	4.0432	2237.2
58	4.0655	2187.3
59	4.0961	2131.2
60	4.1357	2072.1
61	4.1849	2011.6
62	4.244	1950.9
63	4.3146	1889.9
64	4.3966	1829.6
65	4.4799	1776.3
66	4.5647	1728.3
67	4.6518	1684.2
68	4.7415	1643.1
69	4.8345	1604.3
70	4.9311	1567.4
71	5.0317	1531.8
72	5.1367	1497.1
73	5.2465	1463.1
74	5.3616	1429.7
75	5.4825	1396.8
76	5.6098	1364.5
77	5.744	1332.6
78	5.886	1301.1
79	6.	1277.1
