	Time [s]	Gasket Temperature [°F]	
1	4.e-002	1529.9	
2	5.3333e-002	1871.	
3	5.7778e-002	1971.2	
4	6.1778e-002	2051.7	
5	6.5778e-002	2123.5	
6	6.9778e-002	2189.3	
7	7.4079e-002	2254.7	
8	7.8895e-002	2319.2	
9	8.4358e-002	2382.6	
10	9.0656e-002	2444.7	
11	9.8034e-002	2504.9	
12	0.10676	2562.1	
13	0.11732	2615.7	
14	0.13054	2664.8	
15	0.14778	2708.8	
16	0.17154	2746.9	
17	0.20228	2776.5	
18	0.23483	2807.2	
19	0.26933	2831.5	
20	0.30629	2851.3	
21	0.34613	2868.	
22	0.38916	2882.4	
23	0.4357	2895.1	
24	0.48606	2906.5	
25	0.54051	2916.8	
26	0.59942	2926.4	
27	0.66321	2935.3	
28	0.73237	2943.8	
29	0.80745	2951.8	
30	0.8891	2959.4	
31	0.97807	2966.8	
32	1.0752	2973.8	
33	1.1816	2980.8	
34	1.2983	2987.6	
35	1.4267	2994.1	
36	1.5686	3000.5	
37	1.7257	3006.8	
38	1.9003	3012.8	
39	2.0953	3018.7	
40	2.3102	3024.4	
41	2.5378	3030.8	
42	2.7801	3036.8	
43	3.0397	3042.4	
44	3.3189	3047.6	
45	3.6206	3052.6	
46	3.8103	3055.5	
47	4.	3058.1	
48	4.02	2962.1	
49	4.0293	2951.8	
50	4.0387	2935.6	
51	4.0528	2906.6	
52	4.0686	2872.1	
53	4.0862	2833.8	
54	4.1058	2792.4	
55	4.1275	2748.5	
56	4.1515	2702.4	
57	4.1782	2654.5	
58	4.2079	2605.3	
59	4.2409	2558.3	
60	4.2775	2509.	
61	4.3183	2466.5	
62	4.3637	2424.3	
63	4.4143	2380.8	
64	4.4706	2335.6	
65	4.5337	2288.6	
66	4.6042	2239.3	
67	4.6836	2187.4	
68	4.773	2132.3	
69	4.8734	2074.1	
70	4.9838	2014.	
71	5.1053	1951.9	
72	5.239	1887.8	
73	5.3859	1822.	
74	5.5475	1754.7	
75	5.7236	1686.7	
76	5.9135	1618.8	
77	6.	1588.9	
