	Time [s]	Gasket Temperature [°F]
1	4.e-002	796.39
2	5.3333e-002	1002.6
3	5.8078e-002	1072.
4	6.2823e-002	1137.8
5	6.8113e-002	1207.2
6	7.3702e-002	1276.8
7	7.96e-002	1346.4
8	8.5818e-002	1416.1
9	9.2347e-002	1485.6
10	9.9109e-002	1554.1
11	0.10612	1621.6
12	0.1134	1688.5
13	0.12096	1754.7
14	0.12884	1820.3
15	0.13705	1885.3
16	0.14563	1949.9
17	0.15462	2014.1
18	0.16404	2077.9
19	0.17394	2141.4
20	0.18438	2204.4
21	0.19541	2267.1
22	0.20709	2329.4
23	0.21952	2391.3
24	0.23279	2452.9
25	0.24702	2514.
26	0.26235	2574.8
27	0.27895	2635.1
28	0.29704	2694.9
29	0.31692	2754.2
30	0.33893	2812.9
31	0.36356	2870.9
32	0.39148	2928.
33	0.4236	2984.2
34	0.46129	3039.2
35	0.50666	3092.6
36	0.56315	3145.
37	0.6259	3191.
38	0.69634	3228.2
39	0.77646	3257.5
40	0.86884	3279.4
41	0.9769	3295.
42	1.1051	3304.9
43	1.2492	3310.
44	1.4084	3311.7
45	1.5841	3311.3
46	1.7767	3309.7
47	1.9918	3307.5
48	2.2324	3304.9
49	2.5023	3302.4
50	2.8021	3299.7
51	3.1328	3297.1
52	3.4743	3294.6
53	3.8286	3292.5
54	4.	3291.2
55	4.02	3270.3
56	4.0316	3258.6
57	4.0432	3249.9
58	4.0655	3235.
59	4.0961	3213.1
60	4.1357	3182.2
61	4.1849	3141.2
62	4.244	3090.2
63	4.3146	3028.2
64	4.3966	2956.5
65	4.4799	2884.6
66	4.5647	2813.2
67	4.6518	2742.2
68	4.7415	2671.4
69	4.8345	2600.8
70	4.9311	2530.3
71	5.0317	2460.
72	5.1367	2389.9
73	5.2465	2319.9
74	5.3616	2250.1
75	5.4825	2180.4
76	5.6098	2110.9
77	5.744	2041.5
78	5.886	1972.3
79	6.	1919.3
