	Time [s]	Convergent Temperature [°F]	
1	4.e-002	820.07	
2	5.3333e-002	931.72	
3	5.7778e-002	960.91	
4	6.1778e-002	984.66	
5	6.5778e-002	1012.9	
6	7.006e-002	1040.9	
7	7.4532e-002	1067.7	
8	7.9213e-002	1093.4	
9	8.412e-002	1118.2	
10	8.9275e-002	1142.1	
11	9.47e-002	1165.1	
12	0.10042	1187.4	
13	0.10647	1209.	
14	0.11287	1229.9	
15	0.11967	1250.4	
16	0.12691	1270.3	
17	0.13464	1289.9	
18	0.14292	1309.2	
19	0.15159	1328.1	
20	0.16068	1346.6	
21	0.17022	1365.2	
22	0.18027	1386.4	
23	0.19087	1407.	
24	0.20208	1426.8	
25	0.21396	1445.9	
26	0.22658	1464.7	
27	0.24005	1483.1	
28	0.25448	1501.3	
29	0.27	1519.5	
30	0.28679	1537.7	
31	0.30504	1556.2	
32	0.32504	1575.1	
33	0.34706	1594.5	
34	0.37152	1618.5	
35	0.39898	1647.1	
36	0.43022	1677.3	
37	0.46634	1708.8	
38	0.50894	1742.3	
39	0.56056	1778.5	
40	0.6186	1814.3	
41	0.68259	1849.	
42	0.75397	1883.	
43	0.83254	1916.	
44	0.91747	1947.4	
45	1.0093	1977.7	
46	1.1093	2007.5	
47	1.2184	2037.1	
48	1.3349	2065.5	
49	1.4592	2093.	
50	1.5925	2119.8	
51	1.7362	2146.4	
52	1.8926	2173.7	
53	2.0634	2201.6	
54	2.2508	2229.5	
55	2.456	2257.2	
56	2.6793	2284.3	
57	2.9214	2312.5	
58	3.183	2340.7	
59	3.4672	2368.3	
60	3.7762	2395.2	
61	4.	2413.1	
62	4.02	2350.2	
63	4.0327	2321.8	
64	4.0454	2295.6	
65	4.069	2253.7	
66	4.1013	2205.6	
67	4.1434	2153.	
68	4.1961	2097.9	
69	4.2607	2041.3	
70	4.3357	1985.7	
71	4.4187	1932.9	
72	4.5029	1886.1	
73	4.5885	1843.7	
74	4.6764	1804.6	
75	4.7671	1768.1	
76	4.8611	1733.6	
77	4.959	1700.6	
78	5.061	1669.	
79	5.1678	1638.5	
80	5.2797	1608.9	
81	5.3974	1580.	
82	5.5214	1551.8	
83	5.6523	1524.1	
84	5.7907	1496.8	
85	5.9375	1469.8	
86	6.	1458.7	
