	Time [s]	Chamber Temperature [°F]	
1	4.e-002	429.46	
2	5.3333e-002	479.61	
3	5.7778e-002	494.07	
4	6.1778e-002	506.62	
5	6.5778e-002	518.53	
6	6.9778e-002	529.8	
7	7.3778e-002	540.5	
8	7.8155e-002	551.65	
9	8.3063e-002	563.52	
10	8.8638e-002	576.31	
11	9.5054e-002	590.2	
12	0.10248	605.35	
13	0.11124	622.12	
14	0.12182	641.07	
15	0.13498	662.98	
16	0.15202	689.05	
17	0.17317	718.42	
18	0.19617	747.22	
19	0.2213	775.89	
20	0.24892	804.7	
21	0.27947	833.88	
22	0.31276	862.99	
23	0.3483	892.71	
24	0.38658	922.21	
25	0.4282	951.71	
26	0.47363	981.31	
27	0.523	1010.9	
28	0.57611	1040.2	
29	0.63321	1069.2	
30	0.69464	1098.	
31	0.76073	1126.6	
32	0.83193	1155.1	
33	0.90871	1183.6	
34	0.99162	1212.1	
35	1.0813	1240.6	
36	1.1784	1269.2	
37	1.2838	1297.9	
38	1.3985	1326.8	
39	1.5235	1355.9	
40	1.66	1385.3	
41	1.8097	1415.1	
42	1.9741	1445.5	
43	2.1553	1476.6	
44	2.3478	1507.5	
45	2.5493	1537.5	
46	2.7613	1566.7	
47	2.9852	1595.2	
48	3.2226	1623.2	
49	3.4755	1650.9	
50	3.7457	1678.5	
51	4.	1702.8	
52	4.02	1628.4	
53	4.0302	1604.8	
54	4.0404	1584.9	
55	4.0543	1562.3	
56	4.0701	1540.6	
57	4.0878	1520.	
58	4.1076	1500.5	
59	4.1295	1481.2	
60	4.154	1461.9	
61	4.1812	1442.4	
62	4.2116	1422.8	
63	4.2454	1402.9	
64	4.2832	1382.7	
65	4.3253	1362.1	
66	4.3724	1341.4	
67	4.425	1320.8	
68	4.4838	1299.7	
69	4.5497	1278.1	
70	4.6238	1256.	
71	4.7072	1233.3	
72	4.8006	1210.1	
73	4.9038	1186.9	
74	5.0177	1163.6	
75	5.1434	1140.3	
76	5.2821	1117.1	
77	5.4351	1094.1	
78	5.6036	1071.6	
79	5.7862	1050.	
80	5.8931	1038.1	
81	6.	1027.	
