	Time [s]	Minimum [°F]	Maximum [°F]	Average [°F]	
1	4.e-002	71.585	410.11	96.286	
2	5.3333e-002	71.592	469.22	101.89	
3	5.7778e-002	71.594	485.4	103.63	
4	6.1778e-002	71.596	498.88	105.18	
5	6.5778e-002	71.596	511.43	106.71	
6	6.9778e-002	71.597	523.19	108.23	
7	7.3778e-002	71.597	534.27	109.72	
8	7.8155e-002	71.597	545.74	111.34	
9	8.3063e-002	71.598	557.91	113.13	
10	8.8638e-002	71.598	570.95	115.14	
11	9.5054e-002	71.598	585.1	117.41	
12	0.10248	71.598	600.47	120.01	
13	0.11124	71.599	617.45	123.01	
14	0.12182	71.599	636.71	126.58	
15	0.13498	71.599	658.94	130.94	
16	0.15202	71.599	685.34	136.45	
17	0.17317	71.6	715.02	143.11	
18	0.19617	71.6	744.1	150.17	
19	0.2213	71.6	772.99	157.7	
20	0.24892	71.6	801.98	165.79	
21	0.27947	71.6	831.3	174.52	
22	0.31276	71.6	860.54	183.83	
23	0.3483	71.601	889.19	193.54	
24	0.38658	71.603	917.61	203.78	
25	0.4282	71.607	946.11	214.68	
26	0.47363	71.616	974.83	226.33	
27	0.523	71.636	1003.6	238.71	
28	0.57611	71.675	1032.2	251.76	
29	0.63321	71.747	1060.7	265.5	
30	0.69464	71.877	1089.	279.97	
31	0.76073	72.099	1117.2	295.22	
32	0.83193	72.466	1145.4	311.32	
33	0.90871	73.051	1173.6	328.33	
34	0.99162	73.956	1201.9	346.33	
35	1.0813	75.316	1230.3	365.4	
36	1.1784	77.308	1258.7	385.63	
37	1.2838	80.16	1287.4	407.14	
38	1.3985	84.157	1316.3	430.06	
39	1.5235	89.646	1345.5	454.53	
40	1.66	97.041	1375.	480.71	
41	1.8097	106.83	1404.9	508.78	
42	1.9741	119.58	1435.2	538.96	
43	2.1553	135.93	1466.1	571.48	
44	2.3478	155.71	1496.6	605.26	
45	2.5493	178.77	1526.5	639.82	
46	2.7613	205.31	1555.7	675.33	
47	2.9852	235.5	1584.8	711.96	
48	3.2226	269.51	1613.7	749.9	
49	3.4755	307.52	1642.4	789.34	
50	3.7457	349.78	1671.2	830.48	
51	4.	390.65	1696.8	868.29	
52	4.02	393.91	1615.5	865.58	
53	4.0302	395.57	1589.6	864.92	
54	4.0404	397.24	1570.	864.45	
55	4.0543	399.51	1549.	863.96	
56	4.0701	402.09	1529.1	863.49	
57	4.0878	404.99	1510.2	863.06	
58	4.1076	408.23	1491.6	862.64	
59	4.1295	411.84	1473.1	862.23	
60	4.154	415.87	1454.6	861.84	
61	4.1812	420.36	1436.	861.45	
62	4.2116	425.37	1417.2	861.07	
63	4.2454	430.98	1398.1	860.7	
64	4.2832	437.24	1378.7	860.34	
65	4.3253	444.24	1359.	859.98	
66	4.3724	452.07	1339.	859.62	
67	4.425	460.83	1318.5	859.27	
68	4.4838	470.63	1297.6	858.92	
69	4.5497	481.59	1276.2	858.56	
70	4.6238	493.83	1254.2	858.2	
71	4.7072	507.5	1231.7	857.84	
72	4.8006	522.59	1208.8	857.47	
73	4.9038	538.89	1185.8	857.11	
74	5.0177	556.35	1162.7	856.73	
75	5.1434	574.86	1139.7	856.35	
76	5.2821	594.27	1116.8	855.96	
77	5.4351	614.35	1094.1	855.56	
78	5.6036	634.88	1071.6	855.14	
79	5.7862	655.27	1050.	854.72	
80	5.8931	666.62	1038.1	854.48	
81	6.	677.36	1027.	854.25	
