	Time [s]	Gasket Temperature [°F]	
1	4.e-002	1552.7	
2	5.3333e-002	1894.2	
3	5.7778e-002	1993.6	
4	6.1778e-002	2072.8	
5	6.5778e-002	2144.4	
6	6.9778e-002	2208.1	
7	7.3778e-002	2265.	
8	7.8155e-002	2320.	
9	8.3063e-002	2373.9	
10	8.8638e-002	2426.6	
11	9.5054e-002	2481.5	
12	0.10248	2535.7	
13	0.11124	2587.1	
14	0.12182	2635.2	
15	0.13498	2679.2	
16	0.15202	2718.6	
17	0.17317	2750.9	
18	0.19617	2774.2	
19	0.2213	2796.8	
20	0.24892	2818.6	
21	0.27947	2837.5	
22	0.31276	2853.9	
23	0.3483	2868.2	
24	0.38658	2880.9	
25	0.4282	2892.4	
26	0.47363	2903.1	
27	0.523	2913.	
28	0.57611	2922.3	
29	0.63321	2931.	
30	0.69464	2939.3	
31	0.76073	2947.2	
32	0.83193	2954.8	
33	0.90871	2962.1	
34	0.99162	2969.1	
35	1.0813	2976.	
36	1.1784	2982.8	
37	1.2838	2989.3	
38	1.3985	2995.7	
39	1.5235	3001.9	
40	1.66	3008.	
41	1.8097	3013.8	
42	1.9741	3019.6	
43	2.1553	3025.1	
44	2.3478	3030.4	
45	2.5493	3035.2	
46	2.7613	3039.8	
47	2.9852	3044.1	
48	3.2226	3048.2	
49	3.4755	3052.	
50	3.7457	3056.5	
51	4.	3060.3	
52	4.02	2972.8	
53	4.0302	2961.6	
54	4.0404	2944.	
55	4.0543	2915.7	
56	4.0701	2882.	
57	4.0878	2844.3	
58	4.1076	2803.4	
59	4.1295	2759.9	
60	4.154	2714.4	
61	4.1812	2667.	
62	4.2116	2620.3	
63	4.2454	2573.7	
64	4.2832	2528.2	
65	4.3253	2487.1	
66	4.3724	2444.8	
67	4.425	2401.3	
68	4.4838	2356.3	
69	4.5497	2309.7	
70	4.6238	2261.	
71	4.7072	2210.	
72	4.8006	2156.7	
73	4.9038	2101.7	
74	5.0177	2045.1	
75	5.1434	1986.8	
76	5.2821	1927.1	
77	5.4351	1866.	
78	5.6036	1803.7	
79	5.7862	1741.4	
80	5.8931	1706.6	
81	6.	1673.4	
