Name,Unit,Expression,Value,Comments,Favorite
rp1_in_1,mm,70.24993729272583 mm,70.24993729272583,,False
rp1_out_1,mm,138.29223531052514 mm,138.29223531052514,,False
ox_in_1,mm,88.29223531052513 mm,88.29223531052513,,False
ox_out_1,mm,120.24993729272583 mm,120.24993729272583,,False
rp1_hole_diameter_1,mm,1.0424865589186054 mm,1.0424865589186054,,False
rp1_hole_diameter2_1,mm,1.0424865589186054 mm,1.0424865589186054,,False
ox_hole_diameter_1,mm,1.3866918247649944 mm,1.3866918247649944,,False
ox_hole_diameter2_1,mm,1.3866918247649944 mm,1.3866918247649944,,False
negative_rp1_d_angle_1,mm,-12.999999999999998 mm,-12.999999999999998,,False
positive_rp1_d_angle_1,mm,12.999999999999998 mm,12.999999999999998,,False
positive_ox_d_angle_1,mm,8.139084472954965 mm,8.139084472954965,,False
negative_ox_d_angle_1,mm,-8.139084472954965 mm,-8.139084472954965,,False
rp1_hole_diameter3_1,mm,1.0424865589186054 mm,1.0424865589186054,,False
rp1_hole_diameter4_1,mm,1.0424865589186054 mm,1.0424865589186054,,False
ox_hole_diameter3_1,mm,1.3866918247649944 mm,1.3866918247649944,,False
ox_hole_diameter4_1,mm,1.3866918247649944 mm,1.3866918247649944,,False
holes_per_ring_1,,34 ,34,,False
positive_rp1_in_w_half_1,mm,2.9932627833677965 mm,2.9932627833677965,,False
negative_rp1_in_w_half_1,mm,-2.9932627833677965 mm,-2.9932627833677965,,False
positive_rp1_out_w_half_1,mm,2.9932627833677965 mm,2.9932627833677965,,False
negative_rp1_out_w_half_1,mm,-2.9932627833677965 mm,-2.9932627833677965,,False
manifold_height_1,mm,15.5 mm,15.5,,False
inj_plate_thickness_1,mm,13.0 mm,13.0,,False
w_avg_lox_1,mm,104.27108630162549 mm,104.27108630162549,,False
positive_ox_w_half_1,mm,10.123237059425291 mm,10.123237059425291,,False
