Station,Property,Degree,Coefficients_high->low
Injector,Gamma,1,"[-0.00021634696577303505, 1.8277214118302882]"
Injector,Cp_J_kgK,1,"[9.17577456859108, -26566.88250975203]"
Injector,Thermal_Conductivity,1,"[1.9292273720682576, -5429.847325950237]"
Injector,Molecular_Weight_kg_kmol,1,"[0.007154134400435381, -2.962392796684431]"
Combustor,Gamma,1,"[-0.00021609842815306293, 1.826755968911922]"
Combustor,Cp_J_kgK,1,"[9.165233514019167, -26525.935845461485]"
Combustor,Thermal_Conductivity,1,"[1.9270110914852325, -5421.238197101917]"
Combustor,Molecular_Weight_kg_kmol,1,"[0.007145915789508701, -2.9304676510309773]"
Throat,Gamma,1,"[-0.00022888367419638647, 1.8343139942179654]"
Throat,Cp_J_kgK,1,"[7.5598295926983345, -20016.04598008741]"
Throat,Thermal_Conductivity,1,"[1.6769657436214729, -4397.806999470739]"
Throat,Molecular_Weight_kg_kmol,1,"[0.006298073156103219, 1.5219519517058424]"
Exit,Gamma,1,"[-0.00013457445617513143, 1.3653738263528699]"
Exit,Cp_J_kgK,1,"[0.5536503593720233, 1502.4748582111467]"
Exit,Thermal_Conductivity,1,"[0.2796094091405762, -48.61058354573314]"
Exit,Molecular_Weight_kg_kmol,1,"[0.005907855849898631, 15.56717434368153]"
