Variable,Value,Units,Description
rotor_radius,0.04,m,Rotor radius
hub_radius,0.035,m,Hub radius
mass_flow,0.49305490619,kg/s,Mass flow rate
shaft_power,150,kW,Shaft power
turbine_rpm,50000,rpm,Turbine RPM
radius,0.0375,m,Average radius
horse_power,201.1533135,HP,Horsepower
torque,28.6472526984931,N*m,Torque
degree_of_reaction,0,-,Degree of reaction
num_blades,25,-,Number of blades
chord,0.01,m,Blade chord length
blade_spacing,0.00879645943005142,m,Blade spacing
min_blade_thickness,0.005,m,Minimum blade thickness
inlet_area,0.0025,m²,Inlet area
V_in,1666.58894431792,m/s,Inlet absolute velocity
V_out,1472.77993407221,m/s,Outlet absolute velocity
W_in,5235.98775598299,m/s,Inlet relative velocity
W_out,5235.98775598299,m/s,Outlet relative velocity
a_in,35.6370947069592,°,Inlet absolute angle
a_out,23.1216359595601,°,Outlet absolute angle
Beta,29.7672239266145,°,Blade angle (Beta)
u,196.349540849362,m/s,Turbine velocity
