Variable,Value,Units,Description
rotor_radius,0.04,m,Rotor radius
hub_radius,0.035,m,Hub radius
mass_flow,0.3674098197,kg/s,Mass flow rate
shaft_power,200,kW,Shaft power
turbine_rpm,50000,rpm,Turbine RPM
radius,0.0375,m,Average radius
horse_power,268.204418,HP,Horsepower
torque,38.1963369313241,N*m,Torque
degree_of_reaction,0,-,Degree of reaction
num_blades,35,-,Number of blades
chord,0.01,m,Blade chord length
blade_spacing,0.00628318530717959,m,Blade spacing
min_blade_thickness,0.002,m,Minimum blade thickness
inlet_area,0.0025,m²,Inlet area
V_in,1666.5847,m/s,Inlet absolute velocity
V_out,-1299.54847659152,m/s,Outlet absolute velocity
W_in,1481.42237746396,m/s,Inlet relative velocity
W_out,1481.42237746396,m/s,Outlet relative velocity
a_in,71.7218946999919,°,Inlet absolute angle
a_out,-473.716358155272,°,Outlet absolute angle
Beta,69.3394882607744,°,Blade angle (Beta)
u,196.349540849362,m/s,Turbine velocity
